Accession	Country	Latitude	Longitude
Sch-1	The Netherlands	53.488352	6.15086
Sch-2	The Netherlands	53.488352	6.15086
Ber-1	Germany	52.53427	13.412396
LC_Ger2	Germany	52.373633	7.14072
HOV-1	The Netherlands	52.273764	6.814315
Dh-1	The Netherlands	52.195656	6.57731
Hbg-1	Netherlands	52.159578	6.715159
Epw-1	Netherlands	52.152271	6.703301
Nmg-1	The Netherlands	51.84346	5.856088
SBR-2	England	51.762057	-1.265661
Ox	Englan, Oxford	51.754453	-1.255932
Bli-1	Germany	51.520066	13.404293
LC_Ger3	Germany	51.2114	7.5249
Cor-1	England	50.532089	-4.980855
Cor-2	England	50.423968	-5.055227
Cor-3	England	50.42183	-4.942891
Cor-5	England	50.54169	-4.940179
Cor-6	England	50.206757	-5.392798
Ger-1	Germany	49.401591	8.673992
BoM-1	France	48.665571	-3.85884
LC0257	Romania	46.26597	23.25322
Swi	Switzerland	46.220702	6.152229
Oli	USA	45.783333	-122.533333
LC_Ita3	Italy	43.08138	13.04182
Esp-2	Spain	42.599093	-5.542717
For-1	Italy	42.299849	12.593372
Az	Portugal - Azores	38.551589	-28.642573
Gr-1	Greece	37.982904	23.706923
Brk-1	United States	37.875998	-122.271731
Sfo-1	United States	37.747915	-122.41539
Jap	Japan	36.983333	137.766667
Bon-1	Spain	36.782617	-6.29282
Bwm-3	Malta	35.861024	14.400329
Cre-1	Greece	35.5054	24.019146
Mad-1	Portugal - Madeira	32.697755	-16.991072
Mpp-1	Portugal - Madeira	32.697755	-16.991072
NZ	New Zealand	-41.267485	174.75513
PuB-1	New Zealand	-41.267485	174.75513
Wag-1	The Netherlands	51.979805	5.66597
Swe	Sweden	56.684699	16.224443
SBR-2	england	51.762058	-1.265661
Ger-1	Germany	49.398407	8.673091
Ita-1	Italy	42.985814	12.482471
Gr-2	Greece	40.994411	22.874107
Esp-1	Spain	37.175193	-3.591117
Par-1	France	48.846643	2.350159
BdF-2	Italy	40.360987	15.135785
Col-1	Germany	50.95733	6.85626
