ecotypeid	name	stockparent	nativename	tg_ecotypeid	latitude	longitude	alias	siteid	site_name	country	collector firstname	collector surname	collectiondate	geographic_integrity_id	geographic_integrity	haplo_group_id
1606	Brn-1		Brn-1	1606	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1607	Brn-2		Brn-2	1607	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1608	Brn-3		Brn-3	1608	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1609	Brn-4		Brn-4	1609	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1610	Brn-6		Brn-6	1610	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1611	Brn-9		Brn-9	1611	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1612	Brn-10		Brn-10	1612	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1613	Brn-11		Brn-11	1613	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1614	Brn-12		Brn-12	1614	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1615	Brn-16		Brn-16	1615	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1616	Brn-17		Brn-17	1616	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1617	Brn-19		Brn-19	1617	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1618	Brn-20		Brn-20	1618	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1619	Brn-21		Brn-21	1619	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1620	Brn-22		Brn-22	1620	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1621	Brn-23		Brn-23	1621	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1622	Brn-24		Brn-24	1622	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1623	Brn-27		Brn-27	1623	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1624	Brn-28		Brn-28	1624	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1625	Brn-29		Brn-29	1625	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1626	Brn-32		Brn-32	1626	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1627	Brn-35		Brn-35	1627	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1628	Brn-36		Brn-36	1628	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1629	Brn-37		Brn-37	1629	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1630	Brn-38		Brn-38	1630	41.9	-86.583	(null)	87	Brn	USA	Diane	Byers	2002-05-01 00:00:00.0	1	assumed	1
1631	DuckLkSP1		DuckLkSP1	1631	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1632	DuckLkSP2		DuckLkSP2	1632	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1633	DuckLkSP3		DuckLkSP3	1633	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1634	DuckLkSP6		DuckLkSP6	1634	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1635	DuckLkSP7		DuckLkSP7	1635	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1636	DuckLkSP9		DuckLkSP9	1636	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1637	DuckLkSP12		DuckLkSP12	1637	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1638	DuckLkSP14		DuckLkSP14	1638	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1639	DuckLkSP15		DuckLkSP15	1639	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1640	DuckLkSP18		DuckLkSP18	1640	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1641	DuckLkSP19		DuckLkSP19	1641	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1642	DuckLkSP22		DuckLkSP22	1642	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1643	DuckLkSP23		DuckLkSP23	1643	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1644	DuckLkSP24		DuckLkSP24	1644	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1645	DuckLkSP25		DuckLkSP25	1645	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1646	DuckLkSP27		DuckLkSP27	1646	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1647	DuckLkSP28		DuckLkSP28	1647	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1648	DuckLkSP30		DuckLkSP30	1648	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1649	DuckLkSP32		DuckLkSP32	1649	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1650	DuckLkSP37		DuckLkSP37	1650	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1651	DuckLkSP38		DuckLkSP38	1651	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1652	DuckLkSP40		DuckLkSP40	1652	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
1653	DuckLkSP41		DuckLkSP41	1653	43.3431	-86.4045	(null)	88	DuckLkSP	USA	Diane	Byers	2004-06-04 00:00:00.0	1	assumed	1
